ID,Order,Family,Family name,Common name,Scientific name,IUCN Status,ABA Status,CA List,Life list date,Life list location,US,CA,ABA,World Obs (Oct 2025),US Obs (Oct 2025),CA Obs (Oct 2025),Range,Featured,Order Target,Location
6892,PASSERIFORMES,Monarchidae,Monarch Flycatchers,Broad-billed Flycatcher,Myiagra ruficollis,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,315",0,0,,,,
4139,PSITTACIFORMES,Psittaculidae,Old World Parrots,Elegant Parrot,Neophema elegans,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,306",0,0,,,,
3399,CORACIIFORMES,Momotidae,Motmots,Broad-billed Motmot,Electron platyrhynchum,LC,,,1/16/2023,CR-H,,,,"90,769",0,0,,,,
26,TINAMIFORMES,Tinamidae,Tinamous,Andean Tinamou,Nothoprocta pentlandii,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,299",0,0,,,,
5053,PASSERIFORMES,Furnariidae,Ovenbirds and Woodcreepers,White-collared Foliage-gleaner,Anabazenops fuscus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,291",0,0,southeastern Brazil (Minas Gerais and Espírito Santo to eastern Santa Catarina),,,
3402,CORACIIFORMES,Alcedinidae,Kingfishers,Common Kingfisher,Alcedo atthis,LC,,,1/13/2018,IN-WB,,,,"1,184,771",0,0,,,,
9983,PASSERIFORMES,Passeridae,Old World Sparrows,White-winged Snowfinch,Montifringilla nivalis,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,290",0,0,,,,
3680,PICIFORMES,Capitonidae,New World Barbets,Lemon-throated Barbet,Eubucco richardsoni,UN,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,287",0,0,,,,
3405,CORACIIFORMES,Alcedinidae,Kingfishers,Blue-eared Kingfisher,Alcedo meninting,LC,,,8/14/2026,MY-12,,,,"21,432",0,0,,,,
3594,PICIFORMES,Lybiidae,African Barbets,Red-and-yellow Barbet,Trachyphonus erythrocephalus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,286",0,0,,,,
4609,PASSERIFORMES,Thamnophilidae,Typical Antbirds,Amazonian Streaked-Antwren,Myrmotherula multostriata,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,285",0,0,eastern Colombia to northern Bolivia and Brazil south of the Amazon River,,,
5124,PASSERIFORMES,Furnariidae,Ovenbirds and Woodcreepers,Little Thornbird,Phacellodomus sibilatrix,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,281",0,0,"Chaco of western Paraguay to southern Bolivia, western Uruguay, and northern Argentina",,,
10075,PASSERIFORMES,Fringillidae,"Finches, Euphonias, and Allies",Chestnut-breasted Chlorophonia,Chlorophonia pyrrhophrys,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,275",0,0,Andes from western Venezuela to central Peru,,,
5469,PASSERIFORMES,Tyrannidae,Tyrant Flycatchers,Helmeted Pygmy-Tyrant,Lophotriccus galeatus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,272",0,0,"eastern Colombia to southern Venezuela, the Guianas, and northern Amazonian Brazil",,,
9862,PASSERIFORMES,Estrildidae,Waxbills and Allies,Black-faced Waxbill,Brunhilda erythronotos,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,272",0,0,,,,
10421,PASSERIFORMES,Passerellidae,New World Sparrows,Striped Sparrow,Oriturus superciliosus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,269",222,0,,,,
9026,PASSERIFORMES,Turdidae,Thrushes and Allies,Pale-eyed Thrush,Turdus leucops,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,267",0,0,Andes of Colombia to western Bolivia; tepuis and mountains of western Venezuela,,,
11102,PASSERIFORMES,Thraupidae,Tanagers and Allies,Plumbeous Seedeater,Sporophila plumbea,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,241",0,0,,,,
1549,APODIFORMES,Trochilidae,Hummingbirds,Green-backed Hillstar,Urochroa leucura,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,238",0,0,"east slope of Andes from southern Colombia (Nariño) to eastern Ecuador (south at least to Morona-Santiago) and northern Peru (Amazonas, San Martín)",,,
4948,PASSERIFORMES,Furnariidae,Ovenbirds and Woodcreepers,Tyrannine Woodcreeper,Dendrocincla tyrannina,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,236",0,0,,,,
2386,PROCELLARIIFORMES,Diomedeidae,Albatrosses,Indian Yellow-nosed Albatross,Thalassarche carteri,EN,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,222",0,0,breeds on southern Indian Ocean islands; ranges mainly southern Indian Ocean between Tropic of Capricorn and Subtropical Convergence,,,
9110,PASSERIFORMES,Muscicapidae,Old World Flycatchers,Kalahari Scrub-Robin,Cercotrichas paena,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,216",0,0,,,,
7710,PASSERIFORMES,Hirundinidae,Swallows,Andean Swallow,Orochelidon andecola,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,195",0,0,,,,
7111,PASSERIFORMES,Petroicidae,Australasian Robins,Pink Robin,Petroica rodinogaster,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,191",0,0,,,,
9243,PASSERIFORMES,Muscicapidae,Old World Flycatchers,Rufous-tailed Robin,Larvivora sibilans,LC,ABA 4,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,188",0,0,breeds southern Siberia to Sea of Okhotsk; winters southern China to southeastern Asia,,,
456,GALLIFORMES,Phasianidae,"Pheasants, Grouse, and Allies",Painted Spurfowl,Galloperdix lunulata,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,185",0,0,semiarid steppes of peninsular India,,,
3555,PICIFORMES,Bucconidae,Puffbirds,Crescent-chested Puffbird,Malacoptila striata,UN,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,183",0,0,,,,
8352,PASSERIFORMES,Pellorneidae,Ground Babblers and Allies,Buff-breasted Babbler,Pellorneum tickelli,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,181",0,0,,,,
480,GALLIFORMES,Phasianidae,"Pheasants, Grouse, and Allies",Coqui Francolin,Campocolinus coqui,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,176",0,0,,,,
1158,CAPRIMULGIFORMES,Caprimulgidae,Nightjars and Allies,Ladder-tailed Nightjar,Hydropsalis climacocerca,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,162",0,0,,,,
5294,PASSERIFORMES,Pipridae,Manakins,Fiery-capped Manakin,Machaeropterus pyrocephalus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,161",0,0,,,,
1514,APODIFORMES,Trochilidae,Hummingbirds,Sapphire-vented Puffleg,Eriocnemis luciani,UN,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,157",0,0,,,,
10984,PASSERIFORMES,Thraupidae,Tanagers and Allies,Indigo Flowerpiercer,Diglossa indigotica,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,154",0,0,Andes of western Colombia and northwestern Ecuador (southward to Pichincha),,,
